Doctor Name,Negative_Reviews,Positive_Reviews,No_of_Negative_Reviews,No_of_Positive_Reviews,Specialty,Gender,No. of Reviews
Dr. ABDULMASSIH Abdulmassih,,"Dr. Abdulmasshi is the best doctor out there. Amazed. I have been going to Dr Abdulmassih for years ever since his partner passed away and I inherited him as my internist. He knows what he is doing, is polite, friendly, and most importantly has been 100% correct every time I have had a health issue and I have some chronic issues that require management. The only problem some may here there is that his offices are very busy. You should be prepared to wait a some extra time for your appointment which I am ok with to get Dr Adbul. DOCTOR ABDULMASSIH IS THE BEST DOCTOR IN THE WORLD!!!!!!!!!!!!",,3,Family Doctor / G.P., Male,3
Dr. Ahmad A. Shaher,,"Dr shaher is an awesome human being and a doctor. He is good teacher and patient doctor. I have learnt so much from him. He truly addresses every complaint a patient has and strives to provide the best treatment. I would recommend him for students getting medical training or anyone looking for a good family doctor. Dr. Shaher is the most understanding, smart and compasionate doctor.",,2,Family Doctor / G.P., Male,2
Dr. Alan L. Sisson,I am not sure how how doctor stays in business. With manners like his he should be a truck driver. No offense to the truckers.,,1,,Emergency Room Doctor, Male,1
Dr. Ali Kafi,Stay away from this doctor (and the term is used loosely. He performed a surgery on my dear mother and he did the incorrect surgery. Her life was miserable until her death. Does not answer questions and is arrogant. Stay away from this doctor (and the term is used loosely. He performed a surgery on my dear mother and he did the incorrect surgery. Her life was miserable until her death. Does not answer questions and is arrogant.,,2,,Cardiothoracic Surgeon, Male,1
Dr. Allan L. Tompkins,,Dr. Tompkins is a great surgeon. He replaced my knee and I have had no pain or problems since then. I trust him fully. I tell everyone I know about him. Dr Tompkins has been our orthopedic surgeon for the past 15 years. He has provided wonderful service to me and other members of my family. I would not hesitate to recommend Dr. Tompkins to anyone needing orthopedic services. Dr. Tompkins is a great surgeon. He replaced my knee and I have had no pain or problems since then. I trust him fully. I tell everyone I know about him. Dr Tompkins has been our orthopedic surgeon for the past 15 years. He has provided wonderful service to me and other members of my family. I would not hesitate to recommend Dr. Tompkins to anyone needing orthopedic services.,,4,Orthopedic Surgeon, Male,3
Dr. Allen David Bloom,"Doctor left me deformed from a surgical procedure and now I have to pay another doctor to fix it This doctor SUCKS; stay away from him. Switched from in-network to out of network during my treatment and no one told me. Now I have these huge bills to pay. Performed surgery on me that is going to require plastic surgery to fix.... Please seek out another general surgeon AWFUL, do not use this man! He doesn't listen to you or your problems, he rushes your office visits, he's flighty in behavior and conversation, he suggests additional surgery even before he knows what the problem may be, he takes awful notes on the surgery he performs, and he doesn't give helpful post-surgical info. My neighbor's friend had very similar issues with this doctor for his surgery, and had I known about his experiences before I had my surgery, I would have changed doctors. I have an HMO not listed, and basically not a lot of choices in surgeons, but I had thyroid cancer and had to have my thyroid taken out. I am still recovering from a surgery that according to the webmd is pretty big procedure requiring special monitoring. My surgery took 35 minutes the first time, but later the same day I went back in surgery for uncontrolled bleeding and swelling. I still am waiting to see if my voice will return, another complication of surgery that I may have temporarily lost my voice, although it has been almost 6 months. My advice always go for a 2nd opinion, even with bad insurnace you are entitled to a second opinion and make sure it is not a doc from the same practice. The absolute WORST doctor. Please, do NOT use him. My father recently saw him for a tumor, and he immediately threw out the word 'cancer' even before a biopsy has been done. He then proceeded to tell us that my father needed a chemo port put in ASAP...again WIHOUT a confirmed diagnosis! Oh, and it's not cancerous. He was so insensitive, told my mother basically to stop crying. Terrible, terrible, terrible! This man should have his license revoked. This doctor completed an emergency appendectomy on my 11/6/2000. As I lay in the ER, He happened to walk past and was called to my room. He examined me and had more test done to diagnose my problem correctly. While in surgery, he discovered another problem but choose to not do the surgery on this unknown problem but did tell me about it upon my recovery. When I visited him in his office after surgery, he again asked if I had followed up on the problem that he discovered while on the table and proceeded to call my own doctor on the spot to ensure that I/the problem was taken care of. I found him to be very caring. However, that was 7 years ago! I beg you to NOT visit this physician. I felt like I was treated TERRIBLY by this doctor. I was left with numerous problems from the surgery this doctor performed on me. Also, he did not tell me all of the associated risks of the surgery that he performed on me. He also did not give me adequate pre-operative instructions for my surgery so I was left completely impacted after surgery. Ridding myself of the impaction caused additional PERMANENT damage to my own body. He is an UNCARING physician. He does not know how to offer any other medical advice other than to CUT. DO NOT visit this physician. In my opinion, he is the definition of BAD doctor.",The doctor just took out my thyroid. I guess he did a good job and various medical staff say he's a good surgeon. He rushes all the time. He didn't tell me any of the pro's or con's of surgery. He didn't tell me side effects of the medicine or what I may feel like after surgery. He was an hour late for the surgery. The nurses had a hard time getting in touch with him to discuss my very low calcium symptoms with him and get me medicine. I had a very hard time getting in touch with him when my symptoms become much worse at home. He never came to see me in the hospital after surgery. And I got a bill from his associate for 'helping' in the surgery. I never met him and not one person in the hospital mentioned he had a helper. No other doctor was waiting for him when he was running so late. My opinion - look into other surgeons. Dr. Bloom is a terrible physician/surgeon. He did not give me quality care. He seemed only interested in getting me in to surgery without giving me the proper pros and cons of the surgery. His bottom line is more important to him than truly listening and caring about his patients. Do NOT visit this doctor. There are many more caring physicians out there that are more worth your time.,7,2,General Surgeon, Male,9
Dr. Alyce F. Jackson,,"Dr Jackson is the MOST caring Doctor I have met!She has a wonderful bedside manor,a very professional approach to us,her patients,while maintaining a 'friend' type relationship!Dr Jackson listens,you can see the sincerity in her eyes when you are having your appointment with her. Dr Jackson has a great work ethic,and tries everything possible to offer you complete health care and rehab,she has been a blessing in my life since I became her patient.I have regained alot of movement and life while under her care! The staff can make you feel a bit 'on the spot' or like you have done something wrong,but this should not reflect,in the least bit,on Dr Jackson. I have named this Doctor, my Angel on earth,she has never let me down,nor ignored any concerns that have arisen.if you have been stuck by a trauma of any kind,and need help getting back on your feet,regaining your quality of life, Dr Jackson is by far,the best doctor to go to,as she will help you in every way possible!",,1,Pain Management Specialist / Physical Therapist, Female,1
Dr. Anas Alzoobi,iI have found this doctor to be very helpfull and he listen you your every needs.,,1,,Anesthesiologist, Male,2
Dr. Andrew S. Rudin,"Just another one of the dope pushers.

https://www.syracuse.com/news/2019/05/syracuse-doc-banned-from-prescribing-painkillers-after-arrest-at-st-joes.html Nothing but a piece of trash, opiate pushing, drug dealer who's under indictment, fired by St. Joe's and is under investigation by the State of NY Health Department. Andrew Rudin lost a $1.6M malpractice lawsuit where he caused a stroke and permanently injured a patient. Here is the link to the court document that explains it all:

https://www.gpo.gov/fdsys/pkg/USCOURTS-tnwd-1_11-cv-01103/pdf/USCOURTS-tnwd-1_11-cv-01103-0.pdf Cured my arrhythmia in 2 hours after suffering with the condition for 20 years. I owe him my life.","Love the most recent positive review (dated 4/18/19) that was submitted 11 days after Rudin was arrested by the DEA and indicted. Too funny! Excellent Physician!! Cares deeply for his patients and their families. Andrew Rudin is the supervising physician for this NP in Tennessee.

https://www.tennessean.com/story/money/industries/health-care/2018/11/13/tennessee-nurse-overprescribe-opioids-jeffrey-young-rock-doc-dea-raid/1926865002/ Andrew Rudin lost his hospital privileges in Tennessee. You can see this on his Tennessee license lookup on his practitioner profile. His Tennessee license number is 45038.

Here is that link

https://apps.health.tn.gov/Licensure/default.aspx Best cardiologist in America. He saved my mom’s life. I have endless gratitude and respect for Dr. Rudin. Any hospital would be lucky to have him on staff. Dr. Rudin is one of the most knowledgeable doctors. He is very caring and explains everything where we the patient can understand. Dr Rudin truly cares for his patients and it shows with his work ethic, and his knowledge of the heart is unparalleled. Dr Rudin always puts the patient first. We are fortunate to have him as our doctor. Wonderful experience. Extremely knowledgable. I highly recommend Dr. Rudin to family and friends who need a Cardiologist. He is a fantastic, caring, knowledgeable physician. Absolutey would refer family and friends to Dr. Rudin..Great Doctor Fantastic Doctor. He was polite, caring and cured my abnormal heart rhythm in 2 hours. I had been suffering for almost 10 years! Highest recommendation. Very pleasurable experience, thoughtful very knowledgeable dr.rudin is the best! he is super smart and really good at what he does!! thank god for dr.rudin",4,14,Cardiologist, Male,18
Dr. Andrew V. Pasternak,"Dr. Pasternak was patient with me when discussing my issues during my first visit and he gave me a couple of doctor referrals upon request. I recently request a ENT referral for checking a lump under my chin. The referral was required by the ENT clinic I called to. After contacting Dr. Pasternak by emails along with follow-up phone calls for a week, however, his staffers still failed to track when my request will be responded to! I have never felt more demeaned in my life by this physician. I am a very compliant patient. Prior to seeing Dr. Pasternak I was told that I need to have my medical records sent over to him so that he could review them prior to my appointment. 

I also filled out their new patient paperwork and gave an extensive history of my health as supplemental information. He did not do so. Instead he spent a good half hour reviewing my medical records. Had he done what his office said that he supposedly does in reviewing these records prior to the appointment, his office could’ve called me and requested additional information that he did not have for this initial consultation.

I am a palled and disgusted that he would compare me to people who have overdosed on narcotic medicine like Prince. Now I understand that he does not know me at all but I offered for him to contact my last primary doctor and even take drug tests to prove that I do not take narcotic medicine as often as I should for my severe pain.

He would not listen to me as a patient as he was too busy searching through my records. I think he made eye contact with me once. I explained to him in detail the reason why I no longer see pain management doctors and that all other medicine has failed me.

I am not upset at the cautionary measure that he was taking in this initial consultation, but his demeaning, and I mean demeaning, and I mean the meaning attitude and implications left me no alternative but to fire him.

Dr. Pasternak I left your office feeling hopeless and worthless. You are a disgrace to the medical field. You need to learn to have a better bedside manner and listen to your patients. Either that or retire. Thank God I am not like prince who had a drug problem and thank God not all doctors I like you. My experience was disappointing and concerning. Dr. Pasternak was disengaged, nonchalant, unconcerned, and seemed overal uninterested in my medical issue of repetitive kidney stone, flank pain, and blood in urine. He was uncaring, apathetic, and dismissive. His demeanor with other patients as I could hear through my open exam room door was pleasant and engaged. I felt singled out and cheated of proper medical care. I received a referral to a urologist specialist. He didn't explain much of anything having to do with health problem and jumped right to a procedure of lithotripsy instead of offering dietary solutions. The fact that he sent me out the door with blood in my urine, no treatment and no instructions until I hear from the urologist was upsetting, especially since I'm still in severe pain and experienced a dangerous kidney infection just a few months prior to this visit. I was hoping for so much more. I've been a patient of his for over ten years and will be finding a new pcp asap. Staff are friendly, but incompetent. They have messed up my simple prescription every time I’ve gone there. I have also heard Dr. Pasternak and his staff openly complain about other patients as they sit in the waiting area. Dr. Pasternak lacks the people skills to be a physician and instead, probably should have been an accountant. He spends more time hiding behind his little computer than he does engaging the patient. Too bad he spent more time decorating his office w/his trophies than reading “Bedside Manners for Idiots”. Definitely find another physician. Dr. Pasternak was patient with me when discussing my issues during my first visit and he gave me a couple of doctor referrals upon request. I recently request a ENT referral for checking a lump under my chin. The referral was required by the ENT clinic I called to. After contacting Dr. Pasternak by emails along with follow-up phone calls for a week, however, his staffers still failed to track when my request will be responded to! I have never felt more demeaned in my life by this physician. I am a very compliant patient. Prior to seeing Dr. Pasternak I was told that I need to have my medical records sent over to him so that he could review them prior to my appointment. 

I also filled out their new patient paperwork and gave an extensive history of my health as supplemental information. He did not do so. Instead he spent a good half hour reviewing my medical records. Had he done what his office said that he supposedly does in reviewing these records prior to the appointment, his office could’ve called me and requested additional information that he did not have for this initial consultation.

I am a palled and disgusted that he would compare me to people who have overdosed on narcotic medicine like Prince. Now I understand that he does not know me at all but I offered for him to contact my last primary doctor and even take drug tests to prove that I do not take narcotic medicine as often as I should for my severe pain.

He would not listen to me as a patient as he was too busy searching through my records. I think he made eye contact with me once. I explained to him in detail the reason why I no longer see pain management doctors and that all other medicine has failed me.

I am not upset at the cautionary measure that he was taking in this initial consultation, but his demeaning, and I mean demeaning, and I mean the meaning attitude and implications left me no alternative but to fire him.

Dr. Pasternak I left your office feeling hopeless and worthless. You are a disgrace to the medical field. You need to learn to have a better bedside manner and listen to your patients. Either that or retire. Thank God I am not like prince who had a drug problem and thank God not all doctors I like you. My experience was disappointing and concerning. Dr. Pasternak was disengaged, nonchalant, unconcerned, and seemed overal uninterested in my medical issue of repetitive kidney stone, flank pain, and blood in urine. He was uncaring, apathetic, and dismissive. His demeanor with other patients as I could hear through my open exam room door was pleasant and engaged. I felt singled out and cheated of proper medical care. I received a referral to a urologist specialist. He didn't explain much of anything having to do with health problem and jumped right to a procedure of lithotripsy instead of offering dietary solutions. The fact that he sent me out the door with blood in my urine, no treatment and no instructions until I hear from the urologist was upsetting, especially since I'm still in severe pain and experienced a dangerous kidney infection just a few months prior to this visit. I was hoping for so much more. I've been a patient of his for over ten years and will be finding a new pcp asap. Staff are friendly, but incompetent. They have messed up my simple prescription every time I’ve gone there. I have also heard Dr. Pasternak and his staff openly complain about other patients as they sit in the waiting area. Dr. Pasternak lacks the people skills to be a physician and instead, probably should have been an accountant. He spends more time hiding behind his little computer than he does engaging the patient. Too bad he spent more time decorating his office w/his trophies than reading “Bedside Manners for Idiots”. Definitely find another physician.","I was completely disappointed in the Dr./ patient rapore. Dr. Pasternak came across as disengaged, or rather preoccupied. If he'd put down his ipad for one second and pay attention, he might actually understand his pt. issues. What happened to the old fashioned, listen now, chart later? And one more thing, the ""I love me wall, look at me, validate how great I am shrine is overwhelming."" Yes Dr. we all can see how in shape you are and how many triathilons you've done. Good for you. Overall, was hoping for more and found nothing but frustration and disappoinment. I've been a patient of Dr. P's since 2009, after a surgery performed by another longtime doctor left me in a very bad state. Dr. P has been wonderful in treating me with all of my new ailments, as a new patient, and has always put a significant amount of thought into diagnostics and treatment and testing when I've seen him. I did find the constant staring at his tablet a bit offputting at first, but he's incredibly competent and that more than makes up for not knowing his eye color. He's been fantastic about refilling prescriptions, usually the same day, and I have had little problem getting into see him with an important problem. He's given me referrals to other specialists and I can not complain about him at all. I kind of think he's like House in his ability to diagnose, without having the jerk factor of the TV character. He's a fantastic doctor. His staff has always been friendly, thorough and prompt. Highly Recommended! I'm more than happy with Dr. Pasternak, I have been a patient of his since he was at the Ralston Clinic. He has taken very good care of me, and possibly saved my life when he discovered my carotid arteries were almost closed. How he knew to have them checked I don't know but he detected something and I had to have surgery to clean them out. He may have to use his computer but that just gives him/us better medical records. I would and have recommended him to friends. I consider him to be an excellent doctor and the longer he practices medicine, the more proficient he has become. Dr. Pasternak is my primary care physician and he recently treated me for a large subcutaneous infection. I appreciate the fact that he offered to treat it in his office after initial antibiotics were insufficient instead of referring me to a hospital for care. A less confident and risk adverse doctor would have sent me off to the hospital where they would treat me but at an exorbitant cost as an admitted patient. By performing a minor surgery in his office along with an antibiotic regimen I was able to enjoy an upcoming vacation vs cancelling it and spending my vacation money on hospital bills. THANK YOU Dr P. and I thank the office staff for dealing with my crappy insurance carrier. I understand the complaints made from patients in 2009 as I felt exactly the same way: too much tablet computer, not enough real listening or engagement. Otherwise, his advice seemed competent. With reluctance, I just saw him again after being unable to find anyone better, and I was HUGELY surprised. His staff seems much more on top of things and there are some new faces. His attentiveness has improved markedly and, although the tablet is still there, it doesn't dominate the appointment. I was very satisfied and impressed that Dr. Pasternak got the message and I now have no intention of changing doctors. Those previously disappointed should give him a second chance. Terrific with my teenage son! No one knows the field better or cares more deeply. I was a patient of Dr. Pasternak's when he was at Washoe Med and followed him to his private practice. Unfortunately, he has seemed to change his approach in interacting with patients. It is a truly a three-way conversation with the doctor and his PDA taking center stage. The best feature of a family practice doc is the ability to communicate with his patient and engender trust, thereby opening up the possibilities of optimum diagnosis and treatment. Unfortunately Dr. Pasternak has lost that ability. I credit Dr.Pasternak with excellent care in the aftermath of a subarachnoid brain hemorrhage I experienced 5 years ago. After release from the hospital, the neurological surgery team cast me adrift with little advice or follow-up. I decided to visit Dr. P, our family physician, even though I wasn't sure much more could be done. Dr. P advised me to undergo speech/cognitive therapy and occupational therapy in an effort to restore my mental health to a degree that ZI could return to work as a research scientist. It wasn't clear if I could return to my job, but Dr.P wrote to my laboratory and told them of the seriousness of the hemorrhage and steps that were being taken to help me recover. It was a critical letter that gave me time to heal. After one and a half years of intense and continuous therapy, I was able to function in my job as a research scientist. Without Dr.P's intervention, I'm quite sure I would have had to retire. I'm working as well as ever. I owe much to Dr. P. This office was so wonderful and professional. The doctor was smart and he really cared about my health and well being. The staff was so friendly and nice. I felt taken care of. I was completely disappointed in the Dr./ patient rapore. Dr. Pasternak came across as disengaged, or rather preoccupied. If he'd put down his ipad for one second and pay attention, he might actually understand his pt. issues. What happened to the old fashioned, listen now, chart later? And one more thing, the ""I love me wall, look at me, validate how great I am shrine is overwhelming."" Yes Dr. we all can see how in shape you are and how many triathilons you've done. Good for you. Overall, was hoping for more and found nothing but frustration and disappoinment. I've been a patient of Dr. P's since 2009, after a surgery performed by another longtime doctor left me in a very bad state. Dr. P has been wonderful in treating me with all of my new ailments, as a new patient, and has always put a significant amount of thought into diagnostics and treatment and testing when I've seen him. I did find the constant staring at his tablet a bit offputting at first, but he's incredibly competent and that more than makes up for not knowing his eye color. He's been fantastic about refilling prescriptions, usually the same day, and I have had little problem getting into see him with an important problem. He's given me referrals to other specialists and I can not complain about him at all. I kind of think he's like House in his ability to diagnose, without having the jerk factor of the TV character. He's a fantastic doctor. His staff has always been friendly, thorough and prompt. Highly Recommended! I'm more than happy with Dr. Pasternak, I have been a patient of his since he was at the Ralston Clinic. He has taken very good care of me, and possibly saved my life when he discovered my carotid arteries were almost closed. How he knew to have them checked I don't know but he detected something and I had to have surgery to clean them out. He may have to use his computer but that just gives him/us better medical records. I would and have recommended him to friends. I consider him to be an excellent doctor and the longer he practices medicine, the more proficient he has become. Dr. Pasternak is my primary care physician and he recently treated me for a large subcutaneous infection. I appreciate the fact that he offered to treat it in his office after initial antibiotics were insufficient instead of referring me to a hospital for care. A less confident and risk adverse doctor would have sent me off to the hospital where they would treat me but at an exorbitant cost as an admitted patient. By performing a minor surgery in his office along with an antibiotic regimen I was able to enjoy an upcoming vacation vs cancelling it and spending my vacation money on hospital bills. THANK YOU Dr P. and I thank the office staff for dealing with my crappy insurance carrier. I understand the complaints made from patients in 2009 as I felt exactly the same way: too much tablet computer, not enough real listening or engagement. Otherwise, his advice seemed competent. With reluctance, I just saw him again after being unable to find anyone better, and I was HUGELY surprised. His staff seems much more on top of things and there are some new faces. His attentiveness has improved markedly and, although the tablet is still there, it doesn't dominate the appointment. I was very satisfied and impressed that Dr. Pasternak got the message and I now have no intention of changing doctors. Those previously disappointed should give him a second chance. Terrific with my teenage son! No one knows the field better or cares more deeply. I was a patient of Dr. Pasternak's when he was at Washoe Med and followed him to his private practice. Unfortunately, he has seemed to change his approach in interacting with patients. It is a truly a three-way conversation with the doctor and his PDA taking center stage. The best feature of a family practice doc is the ability to communicate with his patient and engender trust, thereby opening up the possibilities of optimum diagnosis and treatment. Unfortunately Dr. Pasternak has lost that ability. I credit Dr.Pasternak with excellent care in the aftermath of a subarachnoid brain hemorrhage I experienced 5 years ago. After release from the hospital, the neurological surgery team cast me adrift with little advice or follow-up. I decided to visit Dr. P, our family physician, even though I wasn't sure much more could be done. Dr. P advised me to undergo speech/cognitive therapy and occupational therapy in an effort to restore my mental health to a degree that ZI could return to work as a research scientist. It wasn't clear if I could return to my job, but Dr.P wrote to my laboratory and told them of the seriousness of the hemorrhage and steps that were being taken to help me recover. It was a critical letter that gave me time to heal. After one and a half years of intense and continuous therapy, I was able to function in my job as a research scientist. Without Dr.P's intervention, I'm quite sure I would have had to retire. I'm working as well as ever. I owe much to Dr. P. This office was so wonderful and professional. The doctor was smart and he really cared about my health and well being. The staff was so friendly and nice. I felt taken care of.",8,18,Family Doctor / G.P., Male,13
